"Marca temporal","Semestre que cursas actualmente","Carrera","¿Has usado ChatGPT o alguna IA generativa para actividades académicas?","¿Con qué frecuencia usas ChatGPT o IA generativa para actividades académicas?","Uso ChatGPT o IA generativa para resolver dudas académicas.","Uso ChatGPT o IA generativa para comprender mejor temas difíciles.","Uso ChatGPT o IA generativa para organizar tareas, trabajos o proyectos.","Uso ChatGPT o IA generativa para generar ideas, ejemplos o explicaciones relacionadas con mis materias.","ChatGPT o la IA generativa me ayuda a mantenerme motivado cuando trabajo en actividades académicas.","Usar ChatGPT o IA generativa me anima a seguir aprendiendo sobre temas que me interesan.","ChatGPT o IA generativa me ayuda a sentir que puedo avanzar cuando una tarea me parece difícil.","Usar ChatGPT o IA generativa hace que algunas actividades académicas me resulten más interesantes.","ChatGPT o IA generativa me ayuda a encontrar valor o utilidad personal en mis tareas académicas.","Cuando me siento bloqueado o desmotivado, ChatGPT o IA generativa me ayuda a retomar el trabajo académico."
"2026/06/05 8:31:43 p.m. GMT-6","4 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","4","2","3","2","2","3","1","2","3"
"2026/06/07 5:56:42 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","2","4","4","4","4","4","4","1"
"2026/06/07 5:57:04 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","2","3","2","1","3","2","2","4"
"2026/06/07 5:57:48 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Muy frecuentemente","4","4","3","4","3","3","4","3","3","2"
"2026/06/07 5:57:58 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","4","4","4","2","2","3","2","2","4"
"2026/06/07 6:00:18 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","2","4","2","4","4","4","4","4","1","1"
"2026/06/07 6:00:18 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","4","4","3","2","3","3","4","3","3","3"
"2026/06/07 6:04:14 p.m. GMT-6","5 semestre","Ingeniería en Sistemas Computacionales","Sí","Algunas veces","4","4","4","3","1","1","1","2","1","1"
"2026/06/07 6:04:16 p.m. GMT-6","6 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","4","3","3","2","2","4","3","3","3"
"2026/06/07 6:06:20 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","3","3","2","1","3","3","4","3","2"
"2026/06/07 6:07:57 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","4","4","3","3","2","3","3","2","3","2"
"2026/06/07 6:10:03 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","4","4","4","4","4","4","3","3"
"2026/06/07 6:10:25 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Algunas veces","3","4","3","2","2","4","3","3","3","1"
"2026/06/07 6:10:56 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","4","4","1","4","2","4","4","2","2","3"
"2026/06/07 6:11:50 p.m. GMT-6","5 semestre","Ingeniería en Sistemas Computacionales","Sí","Algunas veces","4","4","2","3","2","4","4","3","2","3"
"2026/06/07 6:13:21 p.m. GMT-6","5 semestre","Ingeniería Matemática","Sí","Algunas veces","4","4","1","1","1","1","3","1","1","3"
"2026/06/07 6:15:12 p.m. GMT-6","5 semestre","Ingeniería en Inteligencia Artificial","Sí","Frecuentemente","3","3","3","3","3","3","3","3","3","3"
